"","Participant","OtherLangYN","Gender","Age","Education","Item","Rating","Scenario","Context","Content"
"44","R_2AWqKpI2r6YGs8Z","No","Male",26,"Bachelor's degree or equivalent","CarNPNRAdj",25,"Car","NPNR","Adj"
"45","R_1jBUvhIiMvz5ocp","Yes","Male",22,"High school degree","CarNPNRAdj",20,"Car","NPNR","Adj"
"46","R_5zNWZAGpxuz2ZSV","No","Male",33,"Bachelor's degree or equivalent","CarNPNRAdj",0,"Car","NPNR","Adj"
"47","R_PNUuDjB9kU72c1j","No","Male",71,"Some college but no degree","CarNPNRAdj",15,"Car","NPNR","Adj"
"48","R_eA65aVXNjQ3oF6p","No","Female",30,"Bachelor's degree or equivalent","CarNPNRAdj",0,"Car","NPNR","Adj"
"49","R_3iPV6tWg3UI1tqM","No","Female",50,"Bachelor's degree or equivalent","CarNPNRAdj",100,"Car","NPNR","Adj"
"50","R_2sd8nJo9NWD0atg","No","Female",44,"Some college but no degree","CarNPNRAdj",5,"Car","NPNR","Adj"
"51","R_1n7WscrtgnUF4qQ","No","Male",33,"Bachelor's degree or equivalent","CarNPNRAdj",32,"Car","NPNR","Adj"
"52","R_3wSEYDwEnhbPg5P","No","Male",71,"Bachelor's degree or equivalent","CarNPNRAdj",62,"Car","NPNR","Adj"
"53","R_1gioXSCHt8RCHMj","No","Male",26,"Some college but no degree","CarNPNRAdj",6,"Car","NPNR","Adj"
"54","R_2PifUy74oObevkk","No","Male",27,"Bachelor's degree or equivalent","CarNPNRAdj",0,"Car","NPNR","Adj"
"55","R_x48BDfE2nCPGKs1","Yes","Male",50,"Doctoral degree or equivalent","CarNPNRAdj",100,"Car","NPNR","Adj"
"56","R_3kiT30vKnhp7Bpx","No","Male",34,"High school degree","CarNPNRAdj",66,"Car","NPNR","Adj"
"57","R_1dK10GPEWZtvW9T","No","Male",30,"High school degree","CarNPNRAdj",15,"Car","NPNR","Adj"
"58","R_1pArIQrIGQfCciJ","Yes","Female",23,"Some college but no degree","CarNPNRAdj",89,"Car","NPNR","Adj"
"59","R_33Cg5sfojAPzosG","No","Female",24,"Bachelor's degree or equivalent","CarNPNRAdj",64,"Car","NPNR","Adj"
"60","R_2VJCj6zDqQxXApz","Yes","Female",38,"Bachelor's degree or equivalent","CarNPNRAdj",100,"Car","NPNR","Adj"
"61","R_3r1EjkUOufYd36h","Yes","Male",35,"Master's degree or equivalent","CarNPNRAdj",0,"Car","NPNR","Adj"
"62","R_3oFR79jYLPaN5Qa","No","Male",38,"Master's degree or equivalent","CarNPNRAdj",92,"Car","NPNR","Adj"
"63","R_2bQ2gi8G34unkcz","Yes","Female",55,"Other","CarNPNRAdj",80,"Car","NPNR","Adj"
"64","R_vV9KysrTULcwinD","No","Male",57,"Bachelor's degree or equivalent","CarNPNRAdj",96,"Car","NPNR","Adj"
"65","R_21ENcSqMOuiVNqM","No","Male",35,"Bachelor's degree or equivalent","DogNPNRAdj",95,"Dog","NPNR","Adj"
"66","R_2cnHVf2e9okgUVK","Yes","Male",33,"Some college but no degree","DogNPNRAdj",80,"Dog","NPNR","Adj"
"67","R_PFYwNY1UT32xE9r","No","Male",26,"Some college but no degree","DogNPNRAdj",62,"Dog","NPNR","Adj"
"68","R_3PmInhSOF3LkBVN","No","Male",34,"Master's degree or equivalent","DogNPNRAdj",58,"Dog","NPNR","Adj"
"69","R_2TNqXg8DN8sa92B","No","Female",25,"Some college but no degree","DogNPNRAdj",51,"Dog","NPNR","Adj"
"70","R_2YhUEJQHGrxe0El","No","Male",25,"Bachelor's degree or equivalent","DogNPNRAdj",0,"Dog","NPNR","Adj"
"71","R_z1HMLRStitU9kXL","Yes","Female",31,"Bachelor's degree or equivalent","DogNPNRAdj",2,"Dog","NPNR","Adj"
"72","R_1mKphsppAZHeb4s","No","Male",26,"Bachelor's degree or equivalent","DogNPNRAdj",25,"Dog","NPNR","Adj"
"73","R_1yKFi16mmkaYTYZ","No","Male",29,"Some college but no degree","DogNPNRAdj",0,"Dog","NPNR","Adj"
"74","R_Wr25rTClivQBkMV","No","Female",21,"Some college but no degree","DogNPNRAdj",0,"Dog","NPNR","Adj"
"75","R_12JV8iLpIX1puvf","No","Female",60,"High school degree","DogNPNRAdj",7,"Dog","NPNR","Adj"
"76","R_ZJfynNk3A4pqn9n","No","Female",47,"Some college but no degree","DogNPNRAdj",90,"Dog","NPNR","Adj"
"77","R_10GF1JBBjyJ1qDh","No","Male",31,"Other","DogNPNRAdj",0,"Dog","NPNR","Adj"
"78","R_291gvb4gG1dtT4i","No","Male",30,"Bachelor's degree or equivalent","DogNPNRAdj",4,"Dog","NPNR","Adj"
"79","R_1oBAlBz8tCTrtvw","No","Male",65,"Some college but no degree","DogNPNRAdj",0,"Dog","NPNR","Adj"
"80","R_vN1JKe6U1rEi6XL","No","Male",31,"Bachelor's degree or equivalent","DogNPNRAdj",0,"Dog","NPNR","Adj"
"81","R_25yconzjBRW0aUO","No","Male",34,"Some college but no degree","DogNPNRAdj",27,"Dog","NPNR","Adj"
"82","R_27HzZ3Bk92wWe8N","No","Male",31,"Bachelor's degree or equivalent","DogNPNRAdj",56,"Dog","NPNR","Adj"
"83","R_1LMWtCcedWkyUwc","No","Female",47,"Less than high school degree","DogNPNRAdj",17,"Dog","NPNR","Adj"
"84","R_3sAnLdXkcDVLn7r","No","Male",42,"Bachelor's degree or equivalent","DogNPNRAdj",29,"Dog","NPNR","Adj"
"85","R_eIHTh6Qzndx6CpX","No","Female",42,"Bachelor's degree or equivalent","DogNPNRAdj",3,"Dog","NPNR","Adj"
"86","R_1Le3c8EcJvQKaFy","No","Male",28,"Some college but no degree","DogNPNRAdj",3,"Dog","NPNR","Adj"
"87","R_2bWutw16BwbTbnn","No","Female",49,"High school degree","DogNPNRAdj",0,"Dog","NPNR","Adj"
"88","R_9LTkTwEM0RrPmaB","No","Male",45,"Some college but no degree","DogNPNRAdj",19,"Dog","NPNR","Adj"
"89","R_1Nb5wf5tHG04AG6","No","Male",44,"Some college but no degree","DogNPNRAdj",24,"Dog","NPNR","Adj"
"90","R_2CswPRXNVqeZYL1","Yes","Male",26,"Master's degree or equivalent","PianoNPNRAdj",54,"Piano","NPNR","Adj"
"91","R_2zAs0lmZhAMKFVe","No","Male",39,"Some college but no degree","PianoNPNRAdj",0,"Piano","NPNR","Adj"
"92","R_3etdSJQBdTvTuJZ","No","Male",37,"Bachelor's degree or equivalent","PianoNPNRAdj",0,"Piano","NPNR","Adj"
"93","R_31zr02FFYpeLwSl","No","Female",40,"Master's degree or equivalent","PianoNPNRAdj",100,"Piano","NPNR","Adj"
"94","R_10vnoa62amH4GSH","No","Female",40,"Bachelor's degree or equivalent","PianoNPNRAdj",100,"Piano","NPNR","Adj"
"95","R_1cTXyPwU99e8SvS","No","Female",37,"Some college but no degree","PianoNPNRAdj",79,"Piano","NPNR","Adj"
"96","R_2CBoscS4fQRyIba","No","Female",23,"High school degree","PianoNPNRAdj",31,"Piano","NPNR","Adj"
"97","R_Xh1yXS224e5Hujn","No","Female",33,"Bachelor's degree or equivalent","PianoNPNRAdj",61,"Piano","NPNR","Adj"
"98","R_doO5bu2X3i28R2N","No","Male",22,"High school degree","PianoNPNRAdj",89,"Piano","NPNR","Adj"
"99","R_2rZXMgjBkjgKwpz","No","Female",31,"Some college but no degree","PianoNPNRAdj",31,"Piano","NPNR","Adj"
"100","R_veNNomIroLI3FTz","No","Male",22,"High school degree","PianoNPNRAdj",66,"Piano","NPNR","Adj"
"101","R_r7SBxvNCWngsSjL","Yes","Male",27,"High school degree","PianoNPNRAdj",82,"Piano","NPNR","Adj"
"102","R_3ELR960iC3CruM3","No","Male",23,"Bachelor's degree or equivalent","PianoNPNRAdj",60,"Piano","NPNR","Adj"
"103","R_3PaVWdGEcmno61i","No","Female",47,"Bachelor's degree or equivalent","PianoNPNRAdj",98,"Piano","NPNR","Adj"
"104","R_3EBcciaWSEezuXJ","No","Male",28,"Some college but no degree","PianoNPNRAdj",0,"Piano","NPNR","Adj"
"105","R_3L6UNip0RALEdph","No","Male",32,"Bachelor's degree or equivalent","PianoNPNRAdj",0,"Piano","NPNR","Adj"
"106","R_9EqZBFaVRC2yVa1","No","Male",36,"Bachelor's degree or equivalent","PianoNPNRAdj",99,"Piano","NPNR","Adj"
"107","R_3FUpsJl2cKQfS0c","No","Male",34,"Bachelor's degree or equivalent","PianoNPNRAdj",6,"Piano","NPNR","Adj"
"108","R_7PS83Uw5gcTKfpn","No","Male",29,"Some college but no degree","PianoNPNRAdj",86,"Piano","NPNR","Adj"
"109","R_qL1mQO83B8mmPO9","No","Male",30,"High school degree","PianoNPNRAdj",0,"Piano","NPNR","Adj"
"110","R_2zTr7R0l0a5Wb68","No","Male",32,"Bachelor's degree or equivalent","PianoNPNRAdj",69,"Piano","NPNR","Adj"
"111","R_3GvniLqNV7Sxn5X","No","Male",59,"Some college but no degree","PianoNPNRAdj",13,"Piano","NPNR","Adj"
"112","R_uldCSXQuEUoYjPr","Yes","Male",52,"Doctoral degree or equivalent","PianoNPNRAdj",91,"Piano","NPNR","Adj"
"113","R_3Do7BGRmPpnL9Bh","No","Male",43,"Some college but no degree","PianoNPNRAdj",0,"Piano","NPNR","Adj"
"114","R_3oL22AoBKqGPIv3","No","Male",22,"Bachelor's degree or equivalent","PianoNPNRAdj",100,"Piano","NPNR","Adj"
"115","R_VOQ1sdYacLMzuN3","No","Male",62,"Bachelor's degree or equivalent","PianoNPNRAdj",100,"Piano","NPNR","Adj"
"116","R_1GPRy0t1LaqQo3B","No","Male",45,"Some college but no degree","PianoNPNRAdj",4,"Piano","NPNR","Adj"
"117","R_31T2kholOTUdUCs","No","Male",43,"Other","PianoNPNRAdj",98,"Piano","NPNR","Adj"
"118","R_4N7aiqYhhv6BqZr","No","Male",27,"Bachelor's degree or equivalent","PianoNPNRAdj",29,"Piano","NPNR","Adj"
"119","R_122Skthc9isBkoZ","No","Male",25,"Bachelor's degree or equivalent","PianoNPNRAdj",22,"Piano","NPNR","Adj"
"120","R_qQ8SmEL4w751inv","No","Male",65,"Master's degree or equivalent","PianoNPNRAdj",0,"Piano","NPNR","Adj"
"121","R_3PvjC1Pkae0Od1W","No","Male",28,"Bachelor's degree or equivalent","PianoNPNRAdj",95,"Piano","NPNR","Adj"
"122","R_2al5WJaPnikLvKh","No","Male",31,"Bachelor's degree or equivalent","PianoNPNRAdj",55,"Piano","NPNR","Adj"
"123","R_21ENcSqMOuiVNqM","No","Male",35,"Bachelor's degree or equivalent","BrotherNPNRApp",6,"Brother","NPNR","App"
"124","R_31XEK3XAKpJwBh2","No","Male",61,"Bachelor's degree or equivalent","BrotherNPNRApp",74,"Brother","NPNR","App"
"125","R_3rTyLoxPPIn5Co9","No","Male",29,"Bachelor's degree or equivalent","BrotherNPNRApp",82,"Brother","NPNR","App"
"126","R_PFYwNY1UT32xE9r","No","Male",26,"Some college but no degree","BrotherNPNRApp",11,"Brother","NPNR","App"
"127","R_10vnoa62amH4GSH","No","Female",40,"Bachelor's degree or equivalent","BrotherNPNRApp",100,"Brother","NPNR","App"
"128","R_2TNqXg8DN8sa92B","No","Female",25,"Some college but no degree","BrotherNPNRApp",51,"Brother","NPNR","App"
"129","R_2YhUEJQHGrxe0El","No","Male",25,"Bachelor's degree or equivalent","BrotherNPNRApp",25,"Brother","NPNR","App"
"130","R_z1HMLRStitU9kXL","Yes","Female",31,"Bachelor's degree or equivalent","BrotherNPNRApp",21,"Brother","NPNR","App"
"131","R_1lxBt1vgnNEWZt6","No","Male",34,"Some college but no degree","BrotherNPNRApp",31,"Brother","NPNR","App"
"132","R_1BVi1OhzGnyXblG","No","Male",35,"High school degree","BrotherNPNRApp",58,"Brother","NPNR","App"
"133","R_2fJnVG5DdCyWrx1","No","Male",32,"Some college but no degree","BrotherNPNRApp",28,"Brother","NPNR","App"
"134","R_BKyqAMTET6s537b","No","Female",38,"Bachelor's degree or equivalent","BrotherNPNRApp",68,"Brother","NPNR","App"
"135","R_3EBcciaWSEezuXJ","No","Male",28,"Some college but no degree","BrotherNPNRApp",100,"Brother","NPNR","App"
"136","R_PNUuDjB9kU72c1j","No","Male",71,"Some college but no degree","BrotherNPNRApp",83,"Brother","NPNR","App"
"137","R_12JV8iLpIX1puvf","No","Female",60,"High school degree","BrotherNPNRApp",55,"Brother","NPNR","App"
"138","R_9EqZBFaVRC2yVa1","No","Male",36,"Bachelor's degree or equivalent","BrotherNPNRApp",98,"Brother","NPNR","App"
"139","R_3iPV6tWg3UI1tqM","No","Female",50,"Bachelor's degree or equivalent","BrotherNPNRApp",33,"Brother","NPNR","App"
"140","R_3KMY0lFnzS8zL1Y","No","Female",28,"High school degree","BrotherNPNRApp",42,"Brother","NPNR","App"
"141","R_2VOs9Y9bAbXvKtJ","No","Male",56,"Bachelor's degree or equivalent","BrotherNPNRApp",95,"Brother","NPNR","App"
"142","R_2PifUy74oObevkk","No","Male",27,"Bachelor's degree or equivalent","BrotherNPNRApp",0,"Brother","NPNR","App"
"143","R_3oL22AoBKqGPIv3","No","Male",22,"Bachelor's degree or equivalent","BrotherNPNRApp",38,"Brother","NPNR","App"
"144","R_VOQ1sdYacLMzuN3","No","Male",62,"Bachelor's degree or equivalent","BrotherNPNRApp",96,"Brother","NPNR","App"
"145","R_1pArIQrIGQfCciJ","Yes","Female",23,"Some college but no degree","BrotherNPNRApp",67,"Brother","NPNR","App"
"146","R_31T2kholOTUdUCs","No","Male",43,"Other","BrotherNPNRApp",93,"Brother","NPNR","App"
"147","R_3r1EjkUOufYd36h","Yes","Male",35,"Master's degree or equivalent","BrotherNPNRApp",95,"Brother","NPNR","App"
"148","R_2bWutw16BwbTbnn","No","Female",49,"High school degree","BrotherNPNRApp",98,"Brother","NPNR","App"
"149","R_3oFR79jYLPaN5Qa","No","Male",38,"Master's degree or equivalent","BrotherNPNRApp",0,"Brother","NPNR","App"
"150","R_2al5WJaPnikLvKh","No","Male",31,"Bachelor's degree or equivalent","BrotherNPNRApp",89,"Brother","NPNR","App"
"151","R_1Nb5wf5tHG04AG6","No","Male",44,"Some college but no degree","BrotherNPNRApp",98,"Brother","NPNR","App"
"152","R_2CswPRXNVqeZYL1","Yes","Male",26,"Master's degree or equivalent","CarNPNRApp",30,"Car","NPNR","App"
"153","R_SH6OFLHcLXmapmV","No","Male",30,"High school degree","CarNPNRApp",51,"Car","NPNR","App"
"154","R_2fBsed1n7TP7vIm","No","Male",41,"High school degree","CarNPNRApp",100,"Car","NPNR","App"
"155","R_Xh1yXS224e5Hujn","No","Female",33,"Bachelor's degree or equivalent","CarNPNRApp",45,"Car","NPNR","App"
"156","R_doO5bu2X3i28R2N","No","Male",22,"High school degree","CarNPNRApp",56,"Car","NPNR","App"
"157","R_3CUzTlSewCAYsuJ","No","Male",27,"Bachelor's degree or equivalent","CarNPNRApp",100,"Car","NPNR","App"
"158","R_veNNomIroLI3FTz","No","Male",22,"High school degree","CarNPNRApp",86,"Car","NPNR","App"
"159","R_3M3GtvtEaWMomDm","No","Male",40,"Some college but no degree","CarNPNRApp",32,"Car","NPNR","App"
"160","R_3ELR960iC3CruM3","No","Male",23,"Bachelor's degree or equivalent","CarNPNRApp",67,"Car","NPNR","App"
"161","R_3PaVWdGEcmno61i","No","Female",47,"Bachelor's degree or equivalent","CarNPNRApp",75,"Car","NPNR","App"
"162","R_cwnm16XvkODdJyF","No","Male",23,"Bachelor's degree or equivalent","CarNPNRApp",56,"Car","NPNR","App"
"163","R_29t6qWUtpEBkAxE","No","Male",59,"Some college but no degree","CarNPNRApp",0,"Car","NPNR","App"
"164","R_1IcRp5F2vnr70SC","No","Female",46,"Bachelor's degree or equivalent","CarNPNRApp",96,"Car","NPNR","App"
"165","R_qL1mQO83B8mmPO9","No","Male",30,"High school degree","CarNPNRApp",48,"Car","NPNR","App"
"166","R_vN1JKe6U1rEi6XL","No","Male",31,"Bachelor's degree or equivalent","CarNPNRApp",24,"Car","NPNR","App"
"167","R_3GvniLqNV7Sxn5X","No","Male",59,"Some college but no degree","CarNPNRApp",89,"Car","NPNR","App"
"168","R_27HzZ3Bk92wWe8N","No","Male",31,"Bachelor's degree or equivalent","CarNPNRApp",100,"Car","NPNR","App"
"169","R_1gioXSCHt8RCHMj","No","Male",26,"Some college but no degree","CarNPNRApp",2,"Car","NPNR","App"
"170","R_uldCSXQuEUoYjPr","Yes","Male",52,"Doctoral degree or equivalent","CarNPNRApp",78,"Car","NPNR","App"
"171","R_3Do7BGRmPpnL9Bh","No","Male",43,"Some college but no degree","CarNPNRApp",23,"Car","NPNR","App"
"172","R_12fdUBsPbpZ6vTk","No","Female",26,"Bachelor's degree or equivalent","CarNPNRApp",21,"Car","NPNR","App"
"173","R_1GPRy0t1LaqQo3B","No","Male",45,"Some college but no degree","CarNPNRApp",2,"Car","NPNR","App"
"174","R_Q9TeAZyJAZPolbj","No","Female",46,"Some college but no degree","CarNPNRApp",38,"Car","NPNR","App"
"175","R_33Cg5sfojAPzosG","No","Female",24,"Bachelor's degree or equivalent","CarNPNRApp",1,"Car","NPNR","App"
"176","R_2VJCj6zDqQxXApz","Yes","Female",38,"Bachelor's degree or equivalent","CarNPNRApp",27,"Car","NPNR","App"
"177","R_1E6zspl52lRQ5BB","No","Male",38,"High school degree","CarNPNRApp",19,"Car","NPNR","App"
"178","R_qQ8SmEL4w751inv","No","Male",65,"Master's degree or equivalent","CarNPNRApp",47,"Car","NPNR","App"
"179","R_pFpayjaHUphtBu1","No","Male",31,"Bachelor's degree or equivalent","CarNPNRApp",0,"Car","NPNR","App"
"180","R_3PvjC1Pkae0Od1W","No","Male",28,"Bachelor's degree or equivalent","CarNPNRApp",95,"Car","NPNR","App"
"181","R_vV9KysrTULcwinD","No","Male",57,"Bachelor's degree or equivalent","CarNPNRApp",97,"Car","NPNR","App"
"182","R_2zAs0lmZhAMKFVe","No","Male",39,"Some college but no degree","DogNPNRApp",0,"Dog","NPNR","App"
"183","R_2cnHVf2e9okgUVK","Yes","Male",33,"Some college but no degree","DogNPNRApp",96,"Dog","NPNR","App"
"184","R_3etdSJQBdTvTuJZ","No","Male",37,"Bachelor's degree or equivalent","DogNPNRApp",0,"Dog","NPNR","App"
"185","R_31zr02FFYpeLwSl","No","Female",40,"Master's degree or equivalent","DogNPNRApp",39,"Dog","NPNR","App"
"186","R_3Di5UsvzwSn402T","No","Male",30,"Bachelor's degree or equivalent","DogNPNRApp",100,"Dog","NPNR","App"
"187","R_1cTXyPwU99e8SvS","No","Female",37,"Some college but no degree","DogNPNRApp",17,"Dog","NPNR","App"
"188","R_XzFkuwNPgOuYThD","No","Male",37,"Bachelor's degree or equivalent","DogNPNRApp",86,"Dog","NPNR","App"
"189","R_1lttSGZ5LC59uHv","No","Male",71,"High school degree","DogNPNRApp",99,"Dog","NPNR","App"
"190","R_3fPD2wNlaRGcqKA","No","Female",27,"Bachelor's degree or equivalent","DogNPNRApp",10,"Dog","NPNR","App"
"191","R_2cuy562cM8gKLE1","No","Female",60,"Bachelor's degree or equivalent","DogNPNRApp",28,"Dog","NPNR","App"
"192","R_2rZXMgjBkjgKwpz","No","Female",31,"Some college but no degree","DogNPNRApp",0,"Dog","NPNR","App"
"193","R_r7SBxvNCWngsSjL","Yes","Male",27,"High school degree","DogNPNRApp",4,"Dog","NPNR","App"
"194","R_Wr25rTClivQBkMV","No","Female",21,"Some college but no degree","DogNPNRApp",0,"Dog","NPNR","App"
"195","R_3L6UNip0RALEdph","No","Male",32,"Bachelor's degree or equivalent","DogNPNRApp",62,"Dog","NPNR","App"
"196","R_ZJfynNk3A4pqn9n","No","Female",47,"Some college but no degree","DogNPNRApp",31,"Dog","NPNR","App"
"197","R_eA65aVXNjQ3oF6p","No","Female",30,"Bachelor's degree or equivalent","DogNPNRApp",0,"Dog","NPNR","App"
"198","R_10GF1JBBjyJ1qDh","No","Male",31,"Other","DogNPNRApp",27,"Dog","NPNR","App"
"199","R_7PS83Uw5gcTKfpn","No","Male",29,"Some college but no degree","DogNPNRApp",62,"Dog","NPNR","App"
"200","R_1oBAlBz8tCTrtvw","No","Male",65,"Some college but no degree","DogNPNRApp",25,"Dog","NPNR","App"
"201","R_26l5jOJwRK5BtTb","No","Male",24,"High school degree","DogNPNRApp",100,"Dog","NPNR","App"
"202","R_1n7WscrtgnUF4qQ","No","Male",33,"Bachelor's degree or equivalent","DogNPNRApp",37,"Dog","NPNR","App"
"203","R_3wSEYDwEnhbPg5P","No","Male",71,"Bachelor's degree or equivalent","DogNPNRApp",29,"Dog","NPNR","App"
"204","R_3oU6bi4aklBq8rN","No","Male",26,"Master's degree or equivalent","DogNPNRApp",70,"Dog","NPNR","App"
"205","R_x48BDfE2nCPGKs1","Yes","Male",50,"Doctoral degree or equivalent","DogNPNRApp",100,"Dog","NPNR","App"
"206","R_1dK10GPEWZtvW9T","No","Male",30,"High school degree","DogNPNRApp",84,"Dog","NPNR","App"
"207","R_3sAnLdXkcDVLn7r","No","Male",42,"Bachelor's degree or equivalent","DogNPNRApp",65,"Dog","NPNR","App"
"208","R_OIipHExw3Ao02rf","No","Male",27,"Master's degree or equivalent","DogNPNRApp",17,"Dog","NPNR","App"
"209","R_1Le3c8EcJvQKaFy","No","Male",28,"Some college but no degree","DogNPNRApp",99,"Dog","NPNR","App"
"210","R_4N7aiqYhhv6BqZr","No","Male",27,"Bachelor's degree or equivalent","DogNPNRApp",74,"Dog","NPNR","App"
"211","R_2xEOvPK3E6hGXAY","Yes","Male",28,"Bachelor's degree or equivalent","DogNPNRApp",36,"Dog","NPNR","App"
"212","R_2bQ2gi8G34unkcz","Yes","Female",55,"Other","DogNPNRApp",100,"Dog","NPNR","App"
"213","R_1Igyztxqibfalll","No","Male",21,"Some college but no degree","PianoNPNRApp",69,"Piano","NPNR","App"
"214","R_3EHhBWpmUqcECek","No","Male",43,"Some college but no degree","PianoNPNRApp",69,"Piano","NPNR","App"
